,Ciutat,Biblioteca,Fons,Manuscrits,Unnamed: 4
11,Orléans,Bibliothèque Municipale,[Fons general. Codi: 293],291 - 1031,
12,París,Bibliothèque de l'Arsenal,[Fons general. Codi: 124],516 - 725 - 809 - 829 - 2675 - 2915 - 3019 - 3024 - 3240,
13,París,Bibliothèque de Sainte-Geneviève,[Fons general. Codi: 302],2230 - 2240 - 2263 - 3112 - 3438,
14,París,Bibliothèque du château de Chantilly,[Fons general. Codi: 301],332,
15,París,Bibliothèque Interuniversitaire de Santé - Pharmacie,[Fons general. Codi: 300],33,
16,París,Bibliothèque Mazarine,[Fons general. Codi: 130],3500 - 3501 - 3502 - 3503 - 3504 - 3505 - 3506 - 3507 - 3508 - 3509 - 3510,
17,París,Bibliothèque Nationale,esp.,41 - 204 - 208 - 234 - 289 - 478,
18,París,Bibliothèque Nationale,fr.,189 - 763 - 1130 - 1971 - 1972 - 1973 - 2019 - 2573 - 12555 - 14798 - 14801 - 19069 - 19071 - 19074 - 19809 - 19810 - 19960 - 19965 - 19974 - 19980 - 22933 - 24402 - 25320,
19,París,Bibliothèque Nationale,fr. nouv. acq.,6182 - 6504,
20,París,Bibliothèque Nationale,lat.,314 - 1464 - 3171 - 3174 - 3323 - 3342 - 7150 - 7156 - 7161 - 7162 - 7163 - 7164 - 7165 - 7166 - 7167 - 7177 - 10204 - 11185 - 11202 - 12969 - 12972 - 12973 - 12974 - 13961 - 13962 - 14007 - 14008 - 14068 - 14586 - 14664 - 14713 - 15095 - 15096 - 15097 - 15098 - 15099 - 15100 - 15145 - 15385 - 15450 - 16111 - 16112 - 16113 - 16114 - 16115 - 16116 - 16117 - 16118 - 16119 - 16120 - 16614 - 16615 - 17819 - 17820 - 17821 - 17822 - 17823 - 17824 - 17825 - 17826 - 17827 - 17828 - 17829 - 19960 - 3348A - 3446A - 6443C - 6443D - 7267A - 8773A,
21,París,Bibliothèque Nationale,nouv. acq. lat.,617 - 634 - 1293 - 1505,
22,Reims,Bibliothèque de la Ville,[Fons general. Codi: 136],500 - 881,
23,Tolosa,Bibliothèque Publique,[Fons general. Codi: 36],220 - 830,
24,Troyes,Bibliothèque Municipale,[Fons general. Codi: 155],1462 - 1539,
0,Dublin,"Archives, University College",[Fons general. Codi: 72],B 45 - B 48 - B 84 - B 95 - B 100,
0,Bari,Biblioteca nazionale,Fondo d'Adossio,I.116,
1,Bèrgam,Civica Biblioteca Angelo Mai,[Fons general. Codi: 1],MA 011 - MA 263 - MA 365,
2,Bolonya,Biblioteca Comunale,[Fons general. Codi: 196],A.2637,
3,Bolonya,Biblioteca Universitaria,(fons general),138 (104) - 142 (109) - 164 (153) - 168 (180) - 169 (181) - 270 (457) - 271 (458) - 522 (926) - 523 (927) - 524 (928) - 525 (929) - 888 (1732) - 1353 (2591) - 20 (12.I.9),
4,Bolonya,Biblioteca Universitaria,Aldrovandi,21,
5,Brescia,Biblioteca Civica Queriniana,[Fons general. Codi: 273],G.II.10 - I.III.23/4,
6,Càller,Biblioteca Universitaria,[Fons general. Codi: 4],131,
7,Camaldoli,Monastero di Camaldoli,[Fons general. Codi: 204],74,
8,Capestrano,Biblioteca del Convento di S. Giovanni,[Fons general. Codi: 328],XV,
